AAL;AAR;100.089
AAL;OSL;352.979
AAR;BMA;551.792
AAR;GOT;182.281
AAR;OSL;434.634
ABC;BCN;425.261
ABI;DFW;253.814
ABQ;AUS;995.664
ABQ;BNA;1807.35
ABQ;CMH;2160.54
ABQ;DFW;915.542
ABQ;MCI;1156.1
ABQ;MEM;1515.86
ABQ;MTY;1201.13
ABQ;ORD;1798.94
ABQ;PHL;2811.7
ABQ;STL;1502.53
ABV;LHR;4761.84
ABX;SYD;451.294
ABZ;LHR;647.075
ACA;AUS;1503.23
ACA;DFW;1808.54
ACA;ORD;3016.04
ACA;RIC;3181.49
ACC;LHR;5085.29
ACE;AGP;1207.95
ACE;MAD;1574.47
ACE;SVQ;1182.32
ACT;DFW;143.7
ADB;LGW;2571.66
ADL;ASP;1313.32
ADL;BNE;1621.16
ADL;CBR;972.426
ADL;DRW;2613.09
ADL;HKG;6838.75
ADL;MEL;642.519
ADL;OLP;518.297
ADL;PER;2119.74
ADL;SIN;5391.88
ADL;SYD;1166.73
AEP;BRC;1336.77
AEP;COR;649.557
AEP;CRD;1463.41
AEP;EZE;31.191
AEP;FTE;2068.56
AEP;IGR;1048.81
AEP;MDZ;980.54
AEP;NQN;996.089
AEP;RGL;2086.33
AEP;SLA;1273.81
AEP;UAQ;990.571
AEP;USH;2380.72
AEX;DFW;457.893
AGJ;OKA;59.67
AGP;CMN;462.759
AGP;CPH;2472.81
AGP;IBZ;571.837
AGP;LGW;1644.19
AGP;LHR;1675.59
AGP;LPA;1409.26
AGP;MAD;431.597
AGP;MLN;208.137
AGP;OVD;775.963
AGP;SDR;751.947
AGP;TFN;1433.81
AGP;TNG;165.294
AGP;VLC;470.891
AGP;VLL;559.38
AGU;DFW;1345.11
AKJ;HND;929.883
AKJ;ITM;1156.28
AKJ;KIX;1198.93
AKL;BNE;2297.79
AKL;CHC;744.819
AKL;HKG;9134.6
AKL;LAX;10467.1
AKL;MEL;2643.57
AKL;SCL;9673.9
AKL;SYD;2164.2
AKL;WLG;479.501
AKL;ZQN;1024.5
ALC;BIO;591.582
ALC;IBZ;180.611
ALC;LGW;1430.02
ALC;LPA;1793.97
ALC;MAD;356.973
ALC;OVD;745.811
ALC;SDR;633.958
ALC;SVQ;479.167
ALC;TFN;1822.6
ALG;LHR;1668.6
ALG;MAD;725.8
AMA;DFW;501.998
AMS;BUD;1171.36
AMS;HEL;1525.5
AMS;HKG;9306.67
AMS;LCY;336.091
AMS;LGW;365.761
AMS;LHR;371.332
AMS;MAD;1458.99
AMS;NRT;9342.22
ANF;IQQ;323.277
ANF;LSC;720.95
ANF;SCL;1103.03
ANU;GND;567.855
ANU;LGW;6568.4
ANU;MIA;2140.06
ANU;SJU;468.994
ANU;SKB;100.363
ANU;TAB;670.443
AOJ;CTS;241.445
AOJ;HND;580.746
AOJ;ITM;806.002
AOJ;NGO;736.335
AQP;CUZ;312.739
AQP;JUL;180.651
AQP;LIM;764.625
ARI;CPO;958.657
ARI;IQQ;242.613
